          0.002         1000000               0
          0.004         1000000               0
          0.006         1000000               0
          0.008         1000000        13206790
           0.01       947172.84        29891136
          0.012       880435.45        32193120
          0.014       818400.36        29924807
          0.016       760736.23        27816318
          0.018       707135.08        25856393
           0.02       657310.65        24034563
          0.022       610996.83        22341098
          0.024       567946.26        20766954
          0.026       527929.02        19303723
          0.028       490731.37        17943591
           0.03       456154.65        16679294
          0.032       424014.19        15504078
          0.034       394138.34        14411668
          0.036       366367.52        13396228
          0.038       340553.43        12452335
           0.04       316558.18        11574949
          0.042       294253.63        10759383
          0.044       273520.65        10001282
          0.046        254248.5         9296596
          0.048       236334.27       8641561.9
           0.05       219682.26       8032681.2
          0.052       204203.54         7466702
          0.054       189815.45       6940601.4
          0.056       176441.13       6451569.7
          0.058       164009.17       5996994.9
           0.06       152453.16       5574449.3
          0.062       141711.37         5181676
          0.064       131726.45       4816577.4
          0.066       122445.06       4477203.5
          0.068       113817.64       4161741.7
           0.07        105798.1       3868507.2
          0.072       98343.609       3595933.8
          0.074       91414.361       3342565.9
          0.076       84973.345       3107050.2
          0.078        78986.16       2888128.8
           0.08        73420.83       2684632.5
          0.082        68247.63       2495474.5
          0.084       63438.932       2319644.4
          0.086       58969.053       2156203.3
          0.088       54814.119       2004278.1
           0.09        50951.94       1863057.6
          0.092       47361.889       1731787.4
          0.094       44024.791       1609766.4
          0.096       40922.823       1496342.9
          0.098       38039.419       1390911.3
            0.1       35359.178       1292908.3
          0.102       32867.786       1201810.5
          0.104       30551.936       1117131.5
          0.106        28399.26       1038418.9
          0.108       26398.261       965252.34
           0.11       24538.251       897241.08
          0.112       22809.296       834021.87
          0.114       21202.163       775257.05
          0.116       19708.268       720632.78
          0.118       18319.632       669857.31
           0.12       17028.839       622659.45
          0.122       15828.994       578787.14
          0.124        14713.69       538006.05
          0.126        13676.97       500098.38
          0.128       12713.297       464861.67
           0.13       11817.523       432107.72
          0.132       10984.866        401661.6
          0.134       10210.877        373360.7
          0.136       9491.4231       347053.86
          0.138       8822.6616        322600.6
           0.14       8201.0207        299870.3
          0.142       7623.1804       278741.57
          0.144       7086.0544       259101.56
          0.146       6586.7741       240845.38
          0.148       6122.6729       223875.52
           0.15        5691.272       208101.35
          0.152       5290.2675       193438.62
          0.154       4917.5175       179809.02
          0.156       4571.0314       167139.75
          0.158       4248.9585       155363.16
           0.16       3949.5788       144416.34
          0.162       3671.2932       134240.83
          0.164       3412.6155       124782.28
          0.166       3172.1641       115990.17
          0.168       2948.6548       107817.56
           0.17       2740.8939       100220.78
          0.172       2547.7717       93159.265
          0.174       2368.2568       86595.304
          0.176       2201.3905       80493.837
          0.178       2046.2814       74822.276
           0.18       1902.1013       69550.331
          0.182       1768.0801       64649.845
