0 14.8238639832
1000 16.7053349018
2000 19.3451001644
3000 19.415366888
4000 17.5237958431
5000 18.1653120518
6000 13.7137510777
7000 15.3042020798
8000 19.151911974
9000 19.9445319176
10000 20.798541069
11000 19.5109620094
12000 19.4149820805
13000 18.2592530251
14000 18.5088670254
15000 18.8632318974
16000 18.7511610985
17000 19.8110060692
18000 18.9860570431
19000 13.2438380718
20000 11.994284153
21000 19.7554500103
22000 19.4220528603
23000 18.0095751286
24000 17.4322550297
25000 19.1046710014
26000 17.572466135
27000 19.178041935
28000 18.6153321266
29000 19.081556797
30000 19.4119660854
31000 16.6625070572
32000 15.1010291576
33000 20.6017179489
34000 20.3366320133
35000 18.7756581306
36000 16.7834918499
37000 15.1779909134
38000 12.5666909218
39000 15.9996709824
40000 16.8938469887
41000 17.4573779106
42000 15.6745610237
43000 18.2350780964
44000 16.0713438988
45000 18.7427830696
46000 19.4407842159
47000 19.8539719582
48000 18.8251020908
49000 18.2317810059
