step	time	T	Ekin	res	lj	bond_43	bond_128	bond_140_cross	bond_126	bond_131	bond_26	bond_136	bond_134	bond_143_cross	bond_138_cross	bond_124	bond_129	bond_127	bond_18_cross	bond_137_cross	bond_141_cross	bond_135	bond_2	bond_136_cross	bond_102	bond_125	bond_144_cross	bond_130	bond_142_cross	bond_139_cross	bond_146_cross	bond_133	bond_132	bond_145_cross
21	0.021	4.54698	44155.7	0	392.116	105.522	0.94494	0	34.2461	61.4542	16.5886	7.13752	19.0697	104.78	30166.2	14.2556	5399.13	0.847492	0	1525.62	172.354	10.9756	837.834	0	265.762	41.7344	0	211.987	73.009	0	0	238.884	46.1622	0
22	0.022	4.53324	44022.3	0	374.924	104.094	1.113	0	23.7735	59.1276	15.7918	13.494	20.4923	102.653	28932.8	16.6542	7119.7	0.239762	0	1482.51	178.92	16.87	582.701	0	433.04	49.1247	0	307.789	71.0296	0	0	229.399	40.9999	0
23	0.023	4.43173	43036.6	0	359.393	99.8549	0.922445	0	20.1792	59.3235	14.1531	20.3556	22.6004	100.541	27685	52.8138	8498.94	0.460626	0	1439.86	186.305	22.3888	1502.91	0	267.109	54.7501	0	328.848	69.1634	0	0	151.13	40.6829	0
24	0.024	4.32269	41977.7	0	345.234	95.9397	0.787844	0	23.7993	62.1927	13.5932	25.0478	24.7118	98.3731	26425	114.839	9231.14	1.4315	0	1397.88	194.489	26.0528	3362.73	0	33.3874	51.9561	0	259.923	67.4412	0	0	103.382	45.2657	0
25	0.025	4.17238	40518	0	334.3	92.8697	1.11574	0	34.4352	67.3977	15.4104	26.0387	26.6112	96.2584	25159.9	190.279	9123.46	1.70884	0	1356.88	203.739	26.7621	5871.53	0	82.8901	45.6531	0	179.128	65.749	0	0	147.355	54.5548	0
26	0.026	4.03178	39152.6	0	323.628	92.8496	1.77879	0	50.4622	74.6683	16.8049	24.6376	29.1918	94.0645	23892.8	263.807	8154.45	1.05694	0	1317.08	213.976	24.9406	8519.04	0	275.32	46.6757	0	176.565	64.0831	0	0	234.793	66.1796	0
27	0.027	3.99939	38838.1	0	313.337	96.2303	2.14466	0	69.4379	83.335	15.4318	21.5197	32.5501	91.8443	22628.9	322.731	6511.27	0.389472	0	1278.63	225.213	21.4396	10596.8	0	250.763	56.4455	0	258.277	62.5103	0	0	268.142	78.4708	0
28	0.028	4.17523	40545.6	0	309.202	103.228	1.47237	0	88.72	91.7329	13.6277	17.7311	35.7793	89.7445	21370.6	356.529	4536.72	1.06244	0	1241.96	237.673	16.9856	11505.8	0	55.8797	66.8614	0	340.238	61.2334	0	0	215.046	90.2837	0
29	0.029	4.52512	43943.5	0	300.609	113.364	1.1532	0	105.056	98.2288	15.3895	13.7134	38.608	87.7766	20123.5	359.45	2653.63	2.11143	0	1207.31	251.436	12.3747	11081.4	0	46.0781	70.1485	0	333.367	60.0519	0	0	143.752	99.8161	0
30	0.03	4.96081	48174.4	0	292.974	126.035	1.28699	0	115.727	102.845	18.6255	10.1498	40.219	85.8436	18891.1	331.757	1270.61	2.20506	0	1175.1	266.25	8.27544	9680.26	0	244.926	63.822	0	254.901	59.0151	0	0	139.253	104.349	0
31	0.031	5.38627	52306	0	286.032	138.359	1.77324	0	119.753	103.947	21.8112	7.04824	40.7244	83.8545	17677.4	276.62	715.194	1.07338	0	1145.66	282.123	5.39522	7836.23	0	302.054	57.8152	0	197.286	58.2028	0	0	196.745	103.364	0
32	0.032	5.74454	55785.2	0	280.914	147.815	2.2658	0	118.169	101.817	21.3194	4.72654	40.419	81.8933	16486.7	206.369	1171.66	0.834942	0	1118.93	299.189	4.16696	5921.46	0	114.659	58.9169	0	229.227	57.6497	0	0	241.283	98.0508	0
33	0.033	5.9804	58075.6	0	273.649	152.36	2.07037	0	109.351	97.072	21.2036	3.69622	39.7	80.0027	15322.1	131.677	2655.93	1.87548	0	1095.31	317.505	5.13029	4047.94	0	22.4453	67.62	0	320.515	57.2729	0	0	216.742	89.6301	0
34	0.034	6.07152	58960.5	0	270.486	152.241	2.14239	0	95.5671	92.4119	20.3924	4.83538	38.9365	78.2037	14186.9	67.0796	5007.59	2.6128	0	1075.02	337.05	8.54056	2274.7	0	212.764	74.478	0	377.771	57.0824	0	0	165.344	81.5884	0
35	0.035	6.02694	58527.6	0	266.534	148.74	2.27193	0	79.0222	90.4241	19.7942	8.55251	38.0288	76.4911	13084.3	25.7103	7906.76	2.04765	0	1058.42	357.936	14.4548	854.194	0	392.143	74.0414	0	350.774	57.172	0	0	163.47	77.7666	0
36	0.036	5.9008	57302.7	0	263.233	144.946	2.7259	0	62.7204	93.459	20.1984	15.1764	37.4094	74.7987	12017.1	16.1377	10926.5	1.15613	0	1045.32	380.069	22.0213	177.299	0	272.22	69.637	0	276.211	57.4695	0	0	231.113	79.426	0
37	0.037	5.70044	55356.9	0	259.292	141.903	3.16967	0	48.3474	101.66	22.5389	23.5306	37.8443	73.2742	10988.2	39.6476	13591	1.03051	0	1036.07	403.561	29.6859	439.92	0	49.7283	69.5444	0	244.604	57.9655	0	0	300.38	84.0596	0
38	0.038	5.44241	52851.2	0	255.535	141.21	2.67175	0	38.0024	114.475	24.384	31.6402	39.0351	71.8585	9999.06	91.5027	15448.6	2.07595	0	1030.54	428.611	35.6734	1411.07	0	74.8018	76.1006	0	293.332	58.6326	0	0	297.922	90.0311	0
39	0.039	5.20336	50529.8	0	252.33	141.734	1.96725	0	33.8262	128.931	23.3027	36.8176	41.2859	70.6143	9053.31	161.091	16179.2	2.7447	0	1028.79	455.126	38.5506	2565.76	0	266.266	84.1795	0	366.417	59.5725	0	0	230.039	95.7332	0
40	0.04	5.12589	49777.6	0	250.765	141.517	2.27691	0	36.5296	140.495	20.814	36.8053	43.785	69.4214	8152.65	232.673	15623.3	1.76296	0	1031.37	483.076	37.546	3473.27	0	262.561	83.3034	0	382.583	60.6068	0	0	182.377	98.3687	0
41	0.041	5.26704	51148.3	0	248.269	139.76	3.08634	0	44.6023	148.364	20.5687	32.4672	45.7727	68.349	7299.19	292.658	13858	0.952349	0	1038.28	512.496	32.8982	4022.61	0	73.7696	74.343	0	332.203	61.8944	0	0	204.683	98.2632	0
42	0.042	5.56937	54084.1	0	245.017	136.462	3.29222	0	56.7604	151.736	25.1452	24.6612	47.5211	67.3245	6495.25	329.805	11167.2	1.32559	0	1049.62	543.605	25.6756	4315.85	0	48.7969	69.0898	0	283.999	63.4284	0	0	264.102	96.095	0
43	0.043	5.93892	57672.8	0	242.275	132.118	3.15846	0	70.8129	149.163	28.1748	16.2073	48.6048	66.504	5742.56	337.187	8001.14	2.68332	0	1065.27	576.011	17.3555	4381.5	0	280.722	76.3264	0	297.985	65.1956	0	0	288.095	93.926	0
44	0.044	6.34398	61606.4	0	241.087	131.617	3.12538	0	84.3346	142.149	26.9582	9.49189	49.5259	65.81	5042.06	314.049	4903.29	3.20737	0	1085.31	609.678	10.3942	4075.01	0	416.437	89.8548	0	370.913	67.2265	0	0	248.722	91.932	0
45	0.045	6.7774	65815.3	0	240.781	137.047	3.95328	0	96.4138	134.265	22.7959	5.44324	50.5136	65.2633	4395.21	265.106	2407.41	2.28795	0	1109.75	644.587	5.96582	3277.34	0	243.882	97.5008	0	439.92	69.4602	0	0	207.149	91.0896	0
46	0.046	7.1733	69659.9	0	478.241	148.117	4.9536	0	104.18	128.441	22.2437	4.28189	51.0978	64.846	4133.93	200.667	945.295	1.27752	0	1478.82	680.674	4.70772	2151.91	0	35.2159	94.5732	0	442.118	71.9096	0	0	221.273	91.0339	0
47	0.047	7.42596	72113.5	0	481.37	162.119	4.11803	0	106.482	124.127	25.9228	5.42998	51.4277	64.5012	3610.34	131.725	774.902	1.45482	0	1512.94	718.086	6.6862	1122.14	0	106.764	86	0	383.67	74.6251	0	0	285.789	91.8676	0
48	0.048	7.43885	72238.7	0	478.877	173.89	3.25629	0	103.849	122.625	29.4845	8.06593	51.5638	64.2946	3140.24	72.2747	1938.72	2.48321	0	1550.38	756.687	11.1784	595.833	0	295.792	83.728	0	327.616	77.5909	0	0	325.185	92.7981	0
